date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:20	54383/54383	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:58%20GMT	http://kodeforest.net/html/books/store/index.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/index.html	(from )
11:28:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2010:28:28%20GMT	http://kodeforest.net/robots.txt		(from )
11:28:22	124371/124371	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:30:59%20GMT	http://kodeforest.net/html/books/store/style.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/style.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:24	10231/10231	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:14%20GMT	http://kodeforest.net/html/books/store/css/themetypo.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/themetypo.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:24	146464/146464	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:05%20GMT	http://kodeforest.net/html/books/store/css/bootstrap.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/bootstrap.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:26	11215/11215	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:05%20GMT	http://kodeforest.net/html/books/store/css/color.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/color.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:27	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:07%20GMT	http://kodeforest.net/html/books/store/css/font-awesome.min.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/font-awesome.min.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:28	3467/3467	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:09%20GMT	http://kodeforest.net/html/books/store/css/jquery.bxslider.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/jquery.bxslider.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:28	6543/6543	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:03%20GMT	http://kodeforest.net/html/books/store/css/bootstrap-slider.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/bootstrap-slider.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:28	28240/28240	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:16%20GMT	http://kodeforest.net/html/books/store/css/widget.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/widget.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:30	22193/22193	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:31:12%20GMT	http://kodeforest.net/html/books/store/css/responsive.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/css/responsive.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:30	16004/16004	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Nov%202015%2018:32:00%20GMT	http://kodeforest.net/html/books/store/js/dl-menu/component.css	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/js/dl-menu/component.css	(from http://kodeforest.net/html/books/store/index.html)
11:28:31	4697/4697	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:48:16%20GMT	http://kodeforest.net/html/books/store/images/logo.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/logo.png	(from http://kodeforest.net/html/books/store/index.html)
11:28:32	57246/57246	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:42%20GMT	http://kodeforest.net/html/books/store/about-us.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/about-us.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:33	19497/19497	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:48%20GMT	http://kodeforest.net/html/books/store/blog.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/blog.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:33	29336/29336	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:46%20GMT	http://kodeforest.net/html/books/store/blog-full.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/blog-full.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:34	30319/30319	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:46%20GMT	http://kodeforest.net/html/books/store/blog-detail.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/blog-detail.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:35	22128/22128	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:44%20GMT	http://kodeforest.net/html/books/store/authors.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/authors.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:36	42811/42811	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:42%20GMT	http://kodeforest.net/html/books/store/author-detail.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/author-detail.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:37	34509/34509	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:54%20GMT	http://kodeforest.net/html/books/store/book-listing.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-listing.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:38	25316/25316	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:50%20GMT	http://kodeforest.net/html/books/store/book-listing-1.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-listing-1.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:38	24652/24652	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:52%20GMT	http://kodeforest.net/html/books/store/book-listing-2.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-listing-2.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:39	33959/33959	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:50%20GMT	http://kodeforest.net/html/books/store/book-listing-1-w-sidebar.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-listing-1-w-sidebar.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:41	31744/31744	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:52%20GMT	http://kodeforest.net/html/books/store/book-listing-2-w-sidebar.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-listing-2-w-sidebar.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:42	35697/35697	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:48%20GMT	http://kodeforest.net/html/books/store/book-detail.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/book-detail.html	(from http://kodeforest.net/html/books/store/index.html)
11:28:43	15430/15430	---M--	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202015%2018:30:56%20GMT	http://kodeforest.net/html/books/store/contact-us.html	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/contact-us.html	(from http://kodeforest.net/html/books/store/index.html)
11:29:06	136170/136170	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:03%20GMT	http://kodeforest.net/html/books/store/images/book2.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book2.png	(from http://kodeforest.net/html/books/store/index.html)
11:29:29	139252/139252	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:09%20GMT	http://kodeforest.net/html/books/store/images/book6.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book6.png	(from http://kodeforest.net/html/books/store/index.html)
11:30:08	112002/112002	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:05%20GMT	http://kodeforest.net/html/books/store/images/book3.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book3.png	(from http://kodeforest.net/html/books/store/index.html)
11:30:22	74612/74612	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:12%20GMT	http://kodeforest.net/html/books/store/images/book8.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book8.png	(from http://kodeforest.net/html/books/store/index.html)
11:30:39	99204/99204	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:14%20GMT	http://kodeforest.net/html/books/store/images/book9.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book9.png	(from http://kodeforest.net/html/books/store/index.html)
11:31:11	107794/107794	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:11%20GMT	http://kodeforest.net/html/books/store/images/book7.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book7.png	(from http://kodeforest.net/html/books/store/index.html)
11:31:29	93840/93840	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:08%20GMT	http://kodeforest.net/html/books/store/images/book5.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book5.png	(from http://kodeforest.net/html/books/store/index.html)
11:31:44	84055/84055	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:46:06%20GMT	http://kodeforest.net/html/books/store/images/book4.png	C:/My%20Web%20Sites/livre2/kodeforest.net/html/books/store/images/book4.png	(from http://kodeforest.net/html/books/store/index.html)
